num_nodes,SYPD,machine,resolution,time_step
7.85944655574544,0.692157030211038,P100,19,120
17.643180951923,1.4599296505024,P100,19,120
31.5754270228374,2.07478268573599,P100,19,120
49.0298345039796,2.73484041476095,P100,19,120
71.259054261488,3.31461692313351,P100,19,120
125.769383559488,4.04839216783834,P100,19,120
159.377228895184,4.18342269792228,P100,19,120
237.246256283821,4.50616200200505,P100,19,120
388.262134355117,4.85211837148294,P100,19,120
572.549408330802,5.05354512530877,P100,19,120
793.901782441365,5.176617101432,P100,19,120
1239.19236816666,5.43596758395377,P100,19,120
1906.97640910804,5.66074913826059,P100,19,120
2879.72813590973,5.70001127472457,P100,19,120
4186.86643039092,5.78887326242416,P100,19,120
7.9699530469884,0.078198588970377,Haswell,19,120
17.8906302230905,0.167740865883873,Haswell,19,120
31.7025826461958,0.294240858641222,Haswell,19,120
49.4465016124542,0.447520071905888,Haswell,19,120
71.8509377400287,0.595022727022354,Haswell,19,120
126.144681258449,0.951465440634697,Haswell,19,120
160.556334657912,1.16348653136672,Haswell,19,120
240.015889617421,1.5997885864998,Haswell,19,120
388.787109133645,2.51615438940885,Haswell,19,120
573.184533127411,2.94842938770548,Haswell,19,120
790.368314960367,4.52430851314819,Haswell,19,120
1232.97197381158,6.27252022641789,Haswell,19,120
1896.74666408935,7.72975651562204,Haswell,19,120
2849.40865872601,9.77003631877736,Haswell,19,120
4221.82571591295,10.1754451029027,Haswell,19,120
241.136952335244,0.166153148990211,P100,3.7,24
390.704560258048,0.230323498463995,P100,3.7,24
575.851779469305,0.308811203881562,P100,3.7,24
798.05219607192,0.410666537851683,P100,3.7,24
1245.0666404284,0.545880401439363,P100,3.7,24
1915.28617745672,0.684122564637036,P100,3.7,24
2878.00759037857,0.762112806776355,P100,3.7,24
4223.5447398387,0.834890561999841,P100,3.7,24
242.296827607405,0.016132582029057,Haswell,3.7,24
392.502259071885,0.024740562509477,Haswell,3.7,24
578.421206556642,0.035482568237492,Haswell,3.7,24
801.668619915377,0.045623224499062,Haswell,3.7,24
1250.53542130234,0.064870140566651,Haswell,3.7,24
1922.79925519281,0.102047480597216,Haswell,3.7,24
2874.24592406214,0.143903886989109,Haswell,3.7,24
4238.20308690223,0.155011037891058,Haswell,3.7,24
4888,0.220649516044062,P100,1.9,12
4888,0.041662103905172,P100,0.93,6
